ID	Title	Description			 price 	Availability 	Condition	Link	image link									
11101805	CAT	735	2023	1883	" $574,455.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11215230	CAT	735	2024	313	" $900,898.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11328655	CAT	735	2023	920	" $804,298.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11442080	CAT	735	2022	1994	" $500,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11555505	CAT	740-04GC	2022	5649	 CALL 	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11668930	CAT	740GC	2021	1586	" $561,750.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11782355	CAT	740GC	2023	4397	" $515,655.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
11895780	CAT	740GC	2023	2870	" $579,705.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12009205	CAT	740/745CYL	0	0	" $30,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12122630	CAT	740GC	2023	3022	" $577,605.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12236055	CAT	740GC	2019	12184	" $180,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12349480	CAT	740B	2015	7950	" $185,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12462905	CAT	74504	2023	7622	 CALL 	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12576330	CAT	745-04	2022	6121	" $380,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12689755	CAT	74504	2023	8883	 CALL 	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12803180	CAT	745	2023	2525	" $854,698.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
12916605	CAT	745	2024	3007	" $640,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13030030	CAT	745	2024	2437	" $745,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13143455	CAT	745	2024	2488	" $715,155.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13256880	CAT	745	2023	3389	" $615,405.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13370305	CAT	745	2023	1762	" $869,398.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13483730	CAT	745	2023	3111	" $633,255.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13597155	CAT	745	2023	2987	" $612,255.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13710580	CAT	745	2023	2591	" $708,750.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13824005	CAT	745	2023	1468	" $866,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
13937430	CAT	745	2022	2429	" $834,750.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14050855	CAT	745	2021	3551	" $656,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14164280	CAT	745	2023	2668	" $896,698.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14277705	CAT	745	2023	2939	" $651,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14391130	CAT	745	2023	2353	" $926,098.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14504555	CAT	745	2023	3128	" $636,405.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14617980	CAT	745	2023	2615	" $651,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14731405	CAT	745	2023	6244	" $412,755.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14844830	CAT	745	2023	4591	" $553,455.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
14958255	CAT	745	2023	2883	" $814,798.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
